patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Nhật Dương,984716906181,1945,0558937085,jane19@example.org,"338 Bà Xuân Mai phố, 895667",Tim mạch,8.12,Nam Đặng,21/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Tùng Hữu Vũ,205464754895,1961,0906235040,john44@example.com,"849 Bà An Nguyễn, 183667",Tiểu đường,7.62,Bà Bảo Hoàng,01/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,An Bùi,478769899927,1979,0766957900,pnguyen@example.com,"5 Bảo Nguyễn, 169403",Tim mạch,8.51,Dũng Thị Đặng,21/02/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Thành Lê,517588914444,1989,0324825544,janevu@example.org,"7 Quý cô Chi Bùi, 166613",Huyết áp cao,8.34,Anh Phúc Hoàng,02/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Quý ông Trung Trần,983553935435,1990,0586796325,knguyen@example.com,"2 Châu Xuân Đặng, 916449",Huyết áp cao,6.99,Bảo Hải Đặng,06/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Anh Nhiên Phạm,864496392435,1952,0942328946,jane85@example.net,"Trọng Hoàng Hoàng
89 Trọng Hoàng Hoàng, 847581",Huyết áp cao,7.46,Cô Hồng Trần,27/02/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Cô An Bùi,885379821433,1978,0538915624,john83@example.net,"105 Tùng Trí Hoàng, 238739",Huyết áp cao,5.24,Cô Duyên Đặng,25/01/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Châu Hoàng,952753674978,1984,0352857256,choang@example.net,"338 Anh Trọng Hoàng, 179046",Tiểu đường,10.86,Ông Khoa Trí Phạm,20/04/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Hà Tấn Đặng,524914168601,1970,0592693358,ktran@example.net,"74 Hưng Dương, 161324",Khỏe mạnh,7.21,Hà Hoàng Bùi,08/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Trung Hữu Đặng,347789489634,1997,0951381865,janebui@example.net,"939 Cô Thảo Mai, 802258",Khỏe mạnh,7.83,Nhiên Lê,18/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Hà Mai Bảo Vũ,067917665122,1980,0707846850,jane11@example.org,"354 Hạnh Lê, 377312",Huyết áp cao,6.55,Bà Thảo Bùi,21/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Phúc Quang Mai,150014188421,1971,0957443034,duongjohn@example.com,"427 Quý cô Nhật Bùi, 137778",Huyết áp cao,6.1,Bác Phúc Trần,17/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Ánh Phạm,630900159446,1950,0918911797,janenguyen@example.com,"2 Dũng Văn Bùi, 872343",Tim mạch,9.37,Hạnh Đức Nguyễn,21/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Ánh Dương,333999485320,1951,0503859340,janenguyen@example.net,"54 Tùng Hải Dương, 220944",Tiểu đường,6.83,Quý cô Phương Đặng,07/05/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Phương Quang Dương,895326389021,1979,0353641547,janetran@example.com,"883 Hạnh Dương, 989208",Tim mạch,8.72,Minh Lê,08/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Nhật Tấn Trần,994711363379,1949,0355313259,vujohn@example.com,"43 Hải Vũ, 808446",Huyết áp cao,12.0,An Phú Dương,28/03/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Nhiên Tấn Trần,223410346996,1951,0567813675,janele@example.org,"1 Bác Trung Dương, 355836",Tim mạch,4.74,Nam Đức Hoàng,29/01/2026
8498e113-b227-462c-b53d-4330cdda24ba,Ông Bà Linh Hoàng,733116772696,2002,0309421410,rduong@example.org,"98 Chị An Nguyễn, 888295",Khỏe mạnh,6.32,Ông Phúc Hoàng,05/03/2026
13d5f2f7-709b-4d97-864c-04af3d3f3799,Quang Nguyễn,084376855078,1959,0727698198,jane11@example.com,"3 Quang Mai Trần, 165290",Khỏe mạnh,11.84,Lan Nguyễn,04/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Dũng Xuân Lê,967935219626,1957,0880927045,janemai@example.org,"34 Chị Ánh Hoàng, 812131",Tiểu đường,7.66,Quý cô Vi Mai,01/05/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Ông Anh Trần,335564343697,1982,0538885622,johnduong@example.net,"755 Xuân Lê, 120324",Khỏe mạnh,7.79,Bà Ngọc Trần,27/03/2026
0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,Quý cô Nhật Hoàng,093170695560,1996,0786605986,johnle@example.net,"45 Yến Lê, 126925",Tiểu đường,4.37,Trung Phú Bùi,21/02/2026
9793b9b4-1374-4146-b2c5-bd89b70b3420,Trung Trần,767616453454,1997,0887442275,janepham@example.com,"850 Bà Kim Vũ, 968962",Khỏe mạnh,7.92,Cô Chi Trần,07/04/2026
9dac6e83-4524-4ea6-a684-6099f7294951,Quý ông Mai Bùi,722398983065,1954,0954859655,ole@example.net,"9 Bác Hoàng Vũ, 611233",Tim mạch,11.2,Anh Dương,14/02/2026
e14eb70d-b380-473a-989d-9d4ae15ca666,Cô Bảo Đặng,031219804184,1973,0942824911,maijohn@example.org,"7 Bác Minh Mai, 825391",Huyết áp cao,10.6,Bà Hạnh Hoàng,18/02/2026
6cedd15d-5800-4c02-87ea-7ff58db06746,Nam Đặng,724264236428,1957,0850200024,buijane@example.com,"374 Ông Trung Dương, 288158",Tiểu đường,4.91,Huy Phạm,17/01/2026
